Action,Price,Shares Held,Balance,Portfolio Value,Transaction Cost,Reward,Slippage,Time Penalty
Buy,193.54,9254.322143298934,8201890.5459189825,9992972.053533059,0.08031697153504797,-0.25704997153506726,0.010000000000019327,0.166733
Buy,193.55,9313.458229554682,8190511.418392557,9993131.258722866,0.23553559578634958,-0.40226859578634955,0.0,0.166733
Buy,193.55,9495.005626714994,8155835.912788617,9993594.251839304,0.050796912963532365,-0.23752991296351417,0.01999999999998181,0.166733
Buy,193.54,9568.105460048184,8141564.266332115,9993375.39706984,0.08031697153504797,-0.2781059715350491,0.030000000000001137,0.167789
Buy,193.53,9678.587982517436,8120777.1771890335,9993874.309445633,0.025398456481766182,-0.2331874564817582,0.03999999999999204,0.167789
Buy,193.53,9794.343594458138,8098353.807930602,9993853.123766085,0.025398456481766182,-0.2331874564817582,0.03999999999999204,0.167789
Buy,193.53,9979.652451184233,8062171.14354658,9993533.282424266,0.164600810598123,-0.37238981059811505,0.03999999999999204,0.167789
Buy,193.5,10158.604227893742,8028903.486517815,9994593.404615253,0.050796912963532365,-0.2560729129635244,0.03999999999999204,0.165276
Buy,193.5,10317.573046670395,7997111.723576901,9993562.108107623,0.035918841619856576,-0.2402678416198486,0.03999999999999204,0.164349
Sell,193.58,10262.951711391886,8007401.944994183,9994104.137285424,0.08031697153504797,-0.26979897153502974,0.01999999999998181,0.169482
Sell,193.58,10071.929709940076,8043775.468639082,9993499.621889282,0.08031697153504797,-0.26979897153502974,0.01999999999998181,0.169482
Sell,193.59,9943.396779192584,8069460.885342771,9994403.067826664,0.17959420809928286,-0.35907620809927376,0.009999999999990905,0.169482
Sell,193.59,9787.301125016107,8101068.433589531,9995792.0583814,0.17959420809928286,-0.35907620809927376,0.009999999999990905,0.169482
Sell,193.6,9608.861861471665,8134097.205483524,9994372.861864438,0.34075605130079595,-0.5102380513007959,0.0,0.169482
Sell,193.6,9439.224852143658,8166179.098416872,9993613.029791884,0.2539845648176618,-0.41826856481766184,0.0,0.164284
Sell,193.66,9236.569430832253,8207335.442813776,9996089.47878875,0.025398456481766182,-0.19043345648176618,0.0,0.165035
Sell,193.66,9077.403732192262,8237828.116738083,9995758.123514436,0.035918841619856576,-0.2041978416198566,0.0,0.168279
Sell,193.66,8872.74650135901,8277016.25286092,9995312.340314105,0.09836779897325425,-0.2666467989732543,0.0,0.168279
Sell,193.67,8770.000668142107,8296024.839804444,9994510.869203527,0.025398456481766182,-0.19341145648176616,0.0,0.168013
Sell,193.67,8626.236623606876,8325138.283705539,9995781.530599482,0.035918841619856576,-0.20393184161985656,0.0,0.168013
Sell,193.67,8428.719436385336,8363993.201944498,9996383.295189247,0.035918841619856576,-0.240593841619877,0.040000000000020464,0.164675
Sell,193.71,8226.074312038238,8404762.438023888,9998235.293008815,0.13439599907129965,-0.30176299907129966,0.0,0.167367
Sell,193.72,8106.056533684913,8428169.346780842,9998474.618486283,0.08031697153504797,-0.2681239715350582,0.020000000000010232,0.167807
Sell,193.71,8006.695322241175,8448236.505717367,9999213.456588704,0.025398456481766182,-0.22320545648176732,0.030000000000001137,0.167807
Sell,193.71,7878.367733008095,8472431.143626152,9998549.75718715,0.17959420809928286,-0.377401208099284,0.030000000000001137,0.167807
Sell,193.71,7764.370632768091,8495220.416342082,9999256.651615588,0.1759656682409844,-0.37377266824098554,0.030000000000001137,0.167807
Sell,193.7,7615.90055955324,8523097.648171553,9998297.586557016,0.08031697153504797,-0.29194797153506846,0.040000000000020464,0.171631
Sell,193.7,7397.6024643311885,8565259.010333424,9998174.607674375,0.08031697153504797,-0.29194797153506846,0.040000000000020464,0.171631
Buy,193.56,7471.74812300005,8550992.487846823,9997224.054534713,0.025398456481766182,-0.389242456481773,0.18000000000000682,0.183844
Buy,193.55,7553.433522476758,8535201.991003772,9997169.04927915,0.050796912963532365,-0.4246409129635301,0.18999999999999773,0.183844
Buy,193.53,7657.4153104871075,8514385.639867075,9996325.224905645,0.025398456481766182,-0.41924245648177416,0.21000000000000796,0.183844
Buy,193.53,7844.289827468566,8477390.38234949,9995495.79265948,0.025398456481766182,-0.41924245648177416,0.21000000000000796,0.183844
Buy,193.53,7895.5050824102145,8467921.466928849,9995938.565527698,0.035918841619856576,-0.42976284161986456,0.21000000000000796,0.183844
Buy,193.53,7966.142519451956,8454618.627865905,9996306.189655442,0.025398456481766182,-0.41924245648177416,0.21000000000000796,0.183844
Buy,193.52,8048.561346503438,8439382.842242721,9996940.434018066,0.025398456481766182,-0.42924245648176507,0.21999999999999886,0.183844
Buy,193.52,8155.651030486579,8418149.022157941,9996430.609577704,0.035918841619856576,-0.43976284161985546,0.21999999999999886,0.183844
Buy,193.52,8291.771144016571,8391947.167192515,9996570.718982602,0.05679267521679932,-0.4606366752167982,0.21999999999999886,0.183844
Buy,193.52,8381.362925538993,8375305.0987493675,9997266.452099673,0.025398456481766182,-0.42924245648176507,0.21999999999999886,0.183844
Buy,193.52,8573.426723877308,8337335.667445943,9996465.20705068,0.025398456481766182,-0.42924245648176507,0.21999999999999886,0.183844
Buy,193.52,8745.961733919781,8304860.455270921,9997378.970019076,0.025398456481766182,-0.42924245648176507,0.21999999999999886,0.183844
Buy,193.52,8856.281095959052,8283564.100361014,9997431.61805101,0.13911307540876636,-0.5429570754087653,0.21999999999999886,0.183844
Buy,193.51,9078.113292538883,8242248.344772912,9998954.048012111,0.035918841619856576,-0.4497628416198748,0.2300000000000182,0.183844
Buy,193.51,9229.73943694154,8213281.981440611,9999328.859883169,0.12180671823874051,-0.5356507182387586,0.2300000000000182,0.183844
Buy,193.51,9424.994274473675,8173855.287982675,9997685.930036075,0.2651676705228648,-0.5497866705228693,0.12000000000000455,0.164619
Buy,193.51,9496.129550038022,8160022.204770756,9997618.233998613,0.17412304502230605,-0.4677020450223106,0.12000000000000455,0.173579
